2022-12-17 13:50:58 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.1.5.Final
2022-12-17 13:50:59 [main] INFO  c.m.demo.config.server.ConfigServer - No active profile set, falling back to default profiles: default
2022-12-17 13:51:02 [main] INFO  o.s.cloud.context.scope.GenericScope - BeanFactory id=2a519873-3bf9-3410-9240-bed5bf7485b8
2022-12-17 13:51:03 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8888 (http)
2022-12-17 13:51:03 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8888"]
2022-12-17 13:51:03 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2022-12-17 13:51:03 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.38]
2022-12-17 13:51:03 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2022-12-17 13:51:03 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 4160 ms
2022-12-17 13:51:04 [main] INFO  o.s.s.c.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2022-12-17 13:51:10 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Creating filter chain: Ant [pattern='/actuator/**'], []
2022-12-17 13:51:10 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Creating filter chain: Ant [pattern='/encrypt/**'], []
2022-12-17 13:51:10 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Creating filter chain: Ant [pattern='/decrypt/**'], []
2022-12-17 13:51:10 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Creating filter chain: any request, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@6ab50d1c, org.springframework.security.web.context.SecurityContextPersistenceFilter@4bab78ce, org.springframework.security.web.header.HeaderWriterFilter@a63643e, org.springframework.security.web.csrf.CsrfFilter@686e7513, org.springframework.security.web.authentication.logout.LogoutFilter@25823192, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@63c4d16, org.springframework.security.web.authentication.ui.DefaultLoginPageGeneratingFilter@32e7b78d, org.springframework.security.web.authentication.ui.DefaultLogoutPageGeneratingFilter@6e0d058a, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@1214c98b, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@7672960e, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@3c97f5e9, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@3eb0fd88, org.springframework.security.web.session.SessionManagementFilter@26d24d7a, org.springframework.security.web.access.ExceptionTranslationFilter@71f29d91, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@702cfbde]
2022-12-17 13:51:10 [main] INFO  o.s.b.a.e.web.EndpointLinksResolver - Exposing 2 endpoint(s) beneath base path '/actuator'
2022-12-17 13:51:10 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8888"]
2022-12-17 13:51:11 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8888 (http) with context path ''
2022-12-17 13:51:11 [main] INFO  c.m.demo.config.server.ConfigServer - Started ConfigServer in 14.288 seconds (JVM running for 15.5)
2022-12-17 13:52:15 [http-nio-8888-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2022-12-17 13:52:15 [http-nio-8888-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2022-12-17 13:52:15 [http-nio-8888-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 6 ms
2022-12-17 13:52:18 [http-nio-8888-exec-2] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: file:/tmp/config-repo-5805022991851416943/config-client-twitter_to_kafka.yml
2022-12-17 13:52:18 [http-nio-8888-exec-2] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: file:/tmp/config-repo-5805022991851416943/config-client.yml
2022-12-17 13:52:26 [http-nio-8888-exec-3] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: file:/tmp/config-repo-5805022991851416943/config-client-kafka_to_elastic.yml
2022-12-17 13:52:26 [http-nio-8888-exec-3] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: file:/tmp/config-repo-5805022991851416943/config-client.yml
2022-12-17 13:55:23 [http-nio-8888-exec-7] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: file:/tmp/config-repo-5805022991851416943/config-client-twitter_to_kafka.yml
2022-12-17 13:55:23 [http-nio-8888-exec-7] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: file:/tmp/config-repo-5805022991851416943/config-client.yml
2022-12-17 13:57:48 [SpringContextShutdownHook] INFO  o.s.s.c.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
